annee,CM_ECMR_C_IMR,CM_ECMR_C_NNR,CM_ECMR_C_U5M,CN_NUTS_C_HA2,ED_LITR_W_LIT,FE_FRTR_W_TFR,FP_CUSM_W_MOD,HC_ELEC_H_ELC,RH_DELP_C_DHF,WS_SRCE_H_IMP
1986,89.5,47.0,203.0,,,6.4,2.4,,,
1993,72.0,38.0,144.5,29.5,,6.0,4.8,26.0,47.13333333333333,52.0
1997,68.5,37.5,139.0,,,5.7,8.1,32.2,48.333333333333336,53.3
2005,66.0,38.0,128.0,19.6,34.6,5.3,10.3,47.1,62.833333333333336,70.6
2006,,,,,31.8,4.9,,49.9,,73.1
2008,57.5,35.5,92.5,,37.0,4.9,,53.5,,74.3
2010,50.0,30.5,79.5,26.5,37.8,5.0,12.1,56.5,72.86666666666667,79.7
2012,46.0,28.5,69.5,18.7,39.0,5.3,16.1,57.0,72.10000000000001,78.8
2014,36.0,20.0,58.0,18.7,40.8,5.0,20.3,61.0,77.53333333333335,83.7
2015,41.0,24.5,62.5,20.5,42.1,4.9,21.2,60.5,74.93333333333334,78.6
2016,38.0,22.5,55.0,17.0,44.9,4.7,23.1,64.5,76.7,85.6
2017,42.0,28.0,58.0,16.5,47.4,4.6,26.3,63.3,79.43333333333334,85.1
2018,39.0,24.0,54.5,18.8,48.7,4.4,25.4,67.5,83.03333333333335,85.6
2019,32.5,22.5,42.5,17.9,47.4,4.7,25.5,70.3,81.93333333333334,86.2
2020,,,,,47.3,3.9,,67.3,,88.7
2023,32.0,23.5,41.0,17.5,50.6,4.0,25.6,77.0,92.19999999999999,90.9
