region,region_geo,code,indicateur,valeur
Saint Louis,Saint Louis,FE_FRTR_W_TFR,Indice de fécondité (enfants/femme),3.6
Louga,Louga,FE_FRTR_W_TFR,Indice de fécondité (enfants/femme),4.0
Matam,Matam,FE_FRTR_W_TFR,Indice de fécondité (enfants/femme),4.5
Dakar,Dakar,FE_FRTR_W_TFR,Indice de fécondité (enfants/femme),3.1
Thiès,Thies,FE_FRTR_W_TFR,Indice de fécondité (enfants/femme),3.9
Diourbel,Diourbel,FE_FRTR_W_TFR,Indice de fécondité (enfants/femme),4.1
Fatick,Fatick,FE_FRTR_W_TFR,Indice de fécondité (enfants/femme),4.6
Kaffrine,Kaffrine,FE_FRTR_W_TFR,Indice de fécondité (enfants/femme),6.0
Kaolack,Kaolack,FE_FRTR_W_TFR,Indice de fécondité (enfants/femme),4.3
Ziguinchor,Ziguinchor,FE_FRTR_W_TFR,Indice de fécondité (enfants/femme),3.7
Sédhiou,Sedhiou,FE_FRTR_W_TFR,Indice de fécondité (enfants/femme),5.5
Kolda,Kolda,FE_FRTR_W_TFR,Indice de fécondité (enfants/femme),4.9
Kédougou,Kedougou,FE_FRTR_W_TFR,Indice de fécondité (enfants/femme),5.2
Tambacounda,Tambacounda,FE_FRTR_W_TFR,Indice de fécondité (enfants/femme),4.4
Saint Louis,Saint Louis,FP_CUSM_W_MOD,"Contraception moderne, femmes mariées (%)",31.2
Louga,Louga,FP_CUSM_W_MOD,"Contraception moderne, femmes mariées (%)",15.8
Matam,Matam,FP_CUSM_W_MOD,"Contraception moderne, femmes mariées (%)",10.9
Dakar,Dakar,FP_CUSM_W_MOD,"Contraception moderne, femmes mariées (%)",36.4
Thiès,Thies,FP_CUSM_W_MOD,"Contraception moderne, femmes mariées (%)",33.3
Diourbel,Diourbel,FP_CUSM_W_MOD,"Contraception moderne, femmes mariées (%)",16.6
Fatick,Fatick,FP_CUSM_W_MOD,"Contraception moderne, femmes mariées (%)",27.1
Kaffrine,Kaffrine,FP_CUSM_W_MOD,"Contraception moderne, femmes mariées (%)",25.5
Kaolack,Kaolack,FP_CUSM_W_MOD,"Contraception moderne, femmes mariées (%)",24.0
