region,region_geo,CM_ECMR_C_IMR,CM_ECMR_C_NNR,CM_ECMR_C_U5M,CN_NUTS_C_HA2,ED_LITR_W_LIT,FE_FRTR_W_TFR,FP_CUSM_W_MOD,HC_ELEC_H_ELC,RH_DELP_C_DHF,WS_SRCE_H_IMP
Dakar,Dakar,20.0,16.0,25.0,10.4,68.9,3.1,36.4,98.2,98.7,99.9
Diourbel,Diourbel,39.0,30.0,52.0,17.5,30.7,4.1,16.6,87.0,94.05000000000001,99.4
Fatick,Fatick,25.0,22.0,36.0,15.9,52.9,4.6,27.1,55.7,91.95,82.4
Kaffrine,Kaffrine,44.0,34.0,62.0,28.4,22.3,6.0,25.5,47.4,84.85,96.5
Kaolack,Kaolack,19.0,11.0,29.0,14.6,44.5,4.3,24.0,74.7,93.25,96.9
Kolda,Kolda,54.0,39.0,77.0,17.9,37.5,4.9,22.4,39.6,88.5,41.6
Kédougou,Kedougou,43.0,30.0,63.0,21.3,50.2,5.2,18.0,42.1,86.75,85.8
Louga,Louga,43.0,34.0,53.0,18.0,42.0,4.0,15.8,68.5,94.1,99.7
Matam,Matam,41.0,26.0,49.0,25.3,36.2,4.5,10.9,51.8,81.0,94.4
Saint Louis,Saint Louis,27.0,19.0,31.0,22.9,47.0,3.6,31.2,64.9,85.6,89.8
Sédhiou,Sedhiou,58.0,40.0,71.0,24.5,38.2,5.5,18.0,45.6,81.5,45.0
Tambacounda,Tambacounda,39.0,29.0,52.0,23.5,31.1,4.4,8.0,45.4,84.69999999999999,79.4
Thiès,Thies,32.0,24.0,38.0,15.9,57.1,3.9,33.3,92.2,97.1,96.2
Ziguinchor,Ziguinchor,17.0,9.0,20.0,10.3,75.6,3.7,23.3,66.6,96.69999999999999,71.3
