code,indicateur,annee,valeur
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1960,295.3
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1961,295.4
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1962,296.0
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1963,296.8
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1964,297.3
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1965,297.4
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1966,296.9
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1967,295.9
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1968,294.3
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1969,291.9
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1970,288.3
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1971,283.5
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1972,277.3
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1973,270.1
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1974,261.9
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1975,252.7
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1976,242.2
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1977,231.3
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1978,221.1
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1979,212.0
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1980,204.2
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1981,197.6
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1982,191.7
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1983,185.7
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1984,178.9
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1985,171.1
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1986,162.6
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1987,154.3
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1988,146.9
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1989,141.2
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1990,137.2
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1991,135.2
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1992,134.6
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1993,135.0
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1994,136.0
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1995,137.0
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1996,137.8
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1997,137.9
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1998,136.7
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",1999,133.8
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",2000,128.9
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",2001,121.7
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",2002,113.2
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",2003,104.2
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",2004,95.5
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",2005,87.6
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",2006,80.8
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",2007,75.0
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",2008,70.1
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",2009,66.1
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",2010,62.8
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",2011,60.0
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",2012,57.6
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",2013,55.5
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",2014,53.7
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",2015,52.2
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",2016,50.8
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",2017,49.4
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",2018,47.9
SH.DYN.MORT,"Mortalité des moins de 5 ans, BM (‰)",2019,46.2
