annee,SH.DYN.MORT,SI.POV.DDAY,SI.POV.GINI,SI.POV.NAHC,SP.DYN.LE00.IN,SP.POP.0014.TO.ZS,SP.POP.1564.TO.ZS,SP.POP.65UP.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL.IN.ZS
1960,295.3,,,,39.668,44.1649528107188,53.0106495032636,2.8243976860176,,3340907.0,22.6143820537868
1961,295.4,,,,39.715,44.2555745516715,52.9488487141246,2.79557673420392,2.81748096900715,3436375.0,22.8452558149389
1962,296.0,,,,39.738,44.2917922141044,52.9360524617954,2.77215532410017,2.82073326778007,3534686.0,23.3384454983395
1963,296.8,,,,39.745,44.3211561228771,52.925505032968,2.75333884415491,2.82256029455455,3635876.0,24.0754335379086
1964,297.3,,,,39.755,44.3473802079943,52.9149502791779,2.73766951282778,2.8378577001018,3740535.0,24.999368992554
1965,297.4,,,,39.761,44.3485329581785,52.9274988648726,2.72396817694896,2.87894325241237,3849788.0,26.0534009211832
1966,296.9,,,,39.848,44.3249361362501,52.9628567370927,2.7122071266572,2.93109606343671,3964299.0,27.180678382704
1967,295.9,,,,39.992,44.2888608109465,53.0084821505092,2.70265703854432,2.9716025775211,4083870.0,28.3243504360241
1968,294.3,,,,40.15,44.2482538984632,53.0569477164765,2.69479838506032,2.98442559728274,4207587.0,29.427566140051
1969,291.9,,,,40.398,44.2138227603929,53.0979831825962,2.68819405701096,2.98262882904199,4334974.0,30.4334745536924
1970,288.3,,,,40.789,44.1931430241065,53.1236009898513,2.68325598604222,2.98509819973603,4466328.0,31.285224735856
1971,283.5,,,,41.243,44.1913211689872,53.1286995878192,2.67997924319363,2.98948442892748,4601864.0,31.9442434147881
1972,277.3,,,,41.77,44.2152441022134,53.1068268605072,2.67792903727948,2.99197305396704,4741631.0,32.5068747527782
1973,270.1,,,,42.429,44.2693775593348,53.0530652859193,2.67755715474587,2.98251676613151,4885181.0,33.0227731241423
1974,261.9,,,,43.104,44.3728095212247,52.9483618146524,2.67882866412284,2.91017124088259,5029437.0,33.4982797776148
1975,252.7,,,,43.938,44.5565491673451,52.7614048862751,2.68204594637977,2.77212999447369,5170810.0,33.9429165602491
1976,242.2,,,,44.809,44.8280876738123,52.4838216590986,2.68809066708913,2.6292016172694,5308564.0,34.36651179273
1977,231.3,,,,45.714,45.1957138358346,52.1069209965753,2.69736516759018,2.43747874841247,5439549.0,34.7794251098707
1978,221.1,,,,46.596,45.611592758854,51.6787289875454,2.70967825360067,2.3357011243472,5568096.0,35.1840286724051
1979,212.0,,,,47.478,46.0027009091611,51.2729018571183,2.72439723372053,2.39207763796717,5702895.0,35.5789615992574
1980,204.2,,,,48.294,46.3521860231509,50.9071379377238,2.74067603912524,2.47218014471202,5845638.0,35.963042872512
1981,197.6,,,,49.083,46.6537122026332,50.5885660388779,2.75772175848887,2.55902817475478,5997160.0,36.3350914742532
1982,191.7,,,,49.863,46.9024166305422,50.3219201810763,2.77566318838141,2.62972878181791,6156961.0,36.6939263865655
1983,185.7,,,,50.811,47.0998753420031,50.1048936011425,2.79523105685442,2.68483009110068,6324504.0,37.0383665915331
1984,178.9,,,,51.694,47.2448571310098,49.9383516555121,2.81679121347806,2.72727133941746,6499364.0,37.3672310712406
1985,171.1,,,,52.586,47.3156358028344,49.8439203526588,2.84044384450674,2.79056064316103,6683287.0,37.6793388077723
1986,162.6,,,,53.718,47.2925806665473,49.8406994163583,2.86671991709449,2.87458943199436,6878192.0,37.9735087832125
1987,154.3,,,,54.632,47.1968171287266,49.9079330379217,2.8952498333517,2.91341593418838,7081530.0,38.2485599796457
1988,146.9,,,,55.546,47.0466490836694,50.0274842934156,2.92586662291495,2.89611580449774,7289618.0,38.5031519344395
1989,141.2,,,,56.209,46.8508231544946,50.190860515503,2.95831633000238,2.87460998220746,7502207.0,38.7355083854582
1990,137.2,,,,56.674,46.6252933900981,50.3838470528486,2.99085955705332,2.86848639350223,7720523.0,38.9466557465895
1991,135.2,77.3,54.0,,57.037,46.3648695689395,50.6119914365766,3.02313899448388,2.84196309841074,7943085.0,39.1402262390545
1992,134.6,,,,57.287,46.0696807634792,50.8746699933096,3.05564924321118,2.79707003044845,8168395.0,39.3197068566225
1993,135.0,,,,57.348,45.7573600237009,51.1554064817337,3.08723349456531,2.75172642740774,8396288.0,39.4885845930629
1994,136.0,72.2,39.2,,57.479,45.4456522772637,51.4371391353371,3.11720858739914,2.67683552339622,8624078.0,39.6503464421449
1995,137.0,,,,57.336,45.1481679515186,51.7065695791673,3.14526246931404,2.56448010712284,8848101.0,39.808479397638
1996,137.8,,,,57.129,44.8691156757892,51.9605241593318,3.17036016487898,2.44401329997373,9067014.0,39.9664704533115
1997,137.9,,,,57.107,44.6123846676279,52.1958540398848,3.19176129248737,2.35950995516652,9283495.0,40.1278066029348
1998,136.7,,,,57.076,44.3735851764799,52.417348840655,3.20906598286511,2.33643949046346,9502952.0,40.2959748402772
1999,133.8,,,,57.315,44.1520233458676,52.6264306635151,3.2215459906173,2.37025662196919,9730887.0,40.474462159108
2000,128.9,,,,57.615,43.9460296982623,52.8249714594122,3.22899884232554,2.41009917724256,9968260.0,40.6667555531967
2001,121.7,63.9,41.2,,58.158,43.7481432872134,53.0174654864387,3.2343912263479,2.42496943712898,10212942.0,40.8763420163126
2002,113.2,,,,58.912,43.4774838351289,53.2451801577915,3.27733600707954,2.44966153599012,10466214.0,41.1081471561292
2003,104.2,,,,59.474,43.2249783046188,53.4347071627217,3.34031453265948,2.40684962152091,10721176.0,41.35893934855
2004,95.5,,,,60.308,43.076328266673,53.5395472791747,3.38412445415235,2.34632515714346,10975704.0,41.6248193895895
2005,87.6,53.6,39.2,,60.98,42.9441771560643,53.6341463892216,3.42167645471414,2.33918136359556,11235472.0,41.9057599695838
2006,80.8,,,,61.801,42.8317393391854,53.713480354444,3.45478030637053,2.32792929230269,11500094.0,42.2046413043069
2007,75.0,,,,62.653,42.7468408207458,53.7671819008511,3.48597727840313,2.32279384441662,11770344.0,42.524343609533
2008,70.1,,,,63.201,42.6917462330148,53.7929417802816,3.51531198670358,2.3395118470328,12048959.0,42.867747101036
2009,66.1,,,,63.751,42.6694983841395,53.7877179685264,3.54278364733413,2.36561415953051,12337389.0,43.23773199459
2010,62.8,,,,64.221,42.6730350117181,53.7588147597081,3.56815022857386,2.38690195279185,12635413.0,43.6371785059692
2011,60.0,53.3,40.3,,64.799,42.6848690395822,53.7310989404075,3.58403202001035,2.52791519909846,12958897.0,44.0689668509475
2012,57.6,,,,65.229,42.7005059804502,53.7078017649908,3.59169225455899,2.67702425205872,13310495.0,44.5359772452989
2013,55.5,,,,65.638,42.6806757189143,53.7401403808036,3.57918390028218,2.96345954605318,13710849.0,45.0398750539456
2014,53.7,,,,66.001,42.5669714141041,53.8844213348809,3.54860725101498,3.16757470346908,14152102.0,45.6020905341588
2015,52.2,,,,66.451,42.3643492484461,54.1120274086851,3.52362334286885,3.07014792428801,14593331.0,46.2747669629858
2016,50.8,,,,66.724,42.0962643936666,54.3968395932547,3.5068960130787,2.97843134010735,15034521.0,47.0553579909929
2017,49.4,,,,67.059,41.7561348863197,54.7454841926833,3.498380920997,2.88769908740551,15475002.0,47.9338349639053
2018,47.9,19.1,38.3,37.8,67.379,41.338892959775,55.161731926394,3.49937511383095,2.8004569855314,15914498.0,48.9001692274485
2019,46.2,,,,67.668,40.8595094154888,55.629971072753,3.51051951175819,2.71760793051867,16352922.0,49.9443321273477
2020,44.2,,,,67.496,40.3310678021691,56.1414662545808,3.52746594325007,2.63303572524896,16789219.0,51.0562950093282
2021,42.2,17.9,36.2,37.5,66.868,39.7622761897608,56.694618125052,3.54310568518721,2.53848919398481,17220867.0,52.2260292191155
2022,40.1,,,,67.788,39.1603034665879,57.2763044893002,3.56339204411192,2.46764281803509,17651103.0,53.4435061024348
2023,38.2,,,,68.683,38.6295981592884,57.780014004645,3.5903878360666,2.38738348832592,18077573.0,54.6992276190794
2024,36.5,,,,68.924,38.1823663294065,58.1999109338785,3.61772273671508,2.32058603495657,18501984.0,55.2368169057304
