region,region_geo,region_map,latitude,longitude
Dakar,Dakar,"Dakar, Senegal",14.7279,-17.3459
Diourbel,Diourbel,"Diourbel, Senegal",14.7728,-16.0058
Fatick,Fatick,"Fatick, Senegal",14.1448,-16.2526
Kaffrine,Kaffrine,"Kaffrine, Senegal",14.0529,-15.2509
Kaolack,Kaolack,"Kaolack, Senegal",14.0038,-15.9662
Kolda,Kolda,"Kolda, Senegal",13.1164,-14.068
Louga,Louga,"Louga, Senegal",15.3131,-15.7696
Matam,Matam,"Matam, Senegal",15.2728,-13.5534
Saint-Louis,Saint Louis,"Saint Louis, Senegal",16.2702,-15.1937
Sédhiou,Sedhiou,"Sedhiou, Senegal",12.9278,-15.6492
Tambacounda,Tambacounda,"Tambacounda, Senegal",13.5973,-13.1031
Thiès,Thies,"Thies, Senegal",14.701,-16.8073
Ziguinchor,Ziguinchor,"Ziguinchor, Senegal",12.7819,-16.2974
Kédougou,Kedougou,"Kedougou, Senegal",12.8632,-12.3068
