annee,code,valeur,source
1986,CM_ECMR_C_IMR,88.0,EDS/DHS
1986,CM_ECMR_C_IMR,91.0,EDS/DHS
1993,CM_ECMR_C_IMR,68.0,EDS/DHS
1993,CM_ECMR_C_IMR,76.0,EDS/DHS
1997,CM_ECMR_C_IMR,68.0,EDS/DHS
1997,CM_ECMR_C_IMR,69.0,EDS/DHS
2005,CM_ECMR_C_IMR,61.0,EDS/DHS
2005,CM_ECMR_C_IMR,71.0,EDS/DHS
2008,CM_ECMR_C_IMR,54.0,EDS/DHS
2008,CM_ECMR_C_IMR,61.0,EDS/DHS
2010,CM_ECMR_C_IMR,47.0,EDS/DHS
2010,CM_ECMR_C_IMR,53.0,EDS/DHS
2012,CM_ECMR_C_IMR,43.0,EDS/DHS
2012,CM_ECMR_C_IMR,49.0,EDS/DHS
2014,CM_ECMR_C_IMR,33.0,EDS/DHS
2014,CM_ECMR_C_IMR,39.0,EDS/DHS
2015,CM_ECMR_C_IMR,39.0,EDS/DHS
2015,CM_ECMR_C_IMR,43.0,EDS/DHS
2016,CM_ECMR_C_IMR,36.0,EDS/DHS
2016,CM_ECMR_C_IMR,40.0,EDS/DHS
2017,CM_ECMR_C_IMR,42.0,EDS/DHS
2017,CM_ECMR_C_IMR,42.0,EDS/DHS
2018,CM_ECMR_C_IMR,37.0,EDS/DHS
2018,CM_ECMR_C_IMR,41.0,EDS/DHS
2019,CM_ECMR_C_IMR,29.0,EDS/DHS
2019,CM_ECMR_C_IMR,36.0,EDS/DHS
2023,CM_ECMR_C_IMR,31.0,EDS/DHS
2023,CM_ECMR_C_IMR,33.0,EDS/DHS
1986,CM_ECMR_C_NNR,46.0,EDS/DHS
1986,CM_ECMR_C_NNR,48.0,EDS/DHS
1993,CM_ECMR_C_NNR,35.0,EDS/DHS
1993,CM_ECMR_C_NNR,41.0,EDS/DHS
1997,CM_ECMR_C_NNR,37.0,EDS/DHS
1997,CM_ECMR_C_NNR,38.0,EDS/DHS
2005,CM_ECMR_C_NNR,35.0,EDS/DHS
2005,CM_ECMR_C_NNR,41.0,EDS/DHS
2008,CM_ECMR_C_NNR,33.0,EDS/DHS
2008,CM_ECMR_C_NNR,38.0,EDS/DHS
2010,CM_ECMR_C_NNR,29.0,EDS/DHS
2010,CM_ECMR_C_NNR,32.0,EDS/DHS
2012,CM_ECMR_C_NNR,26.0,EDS/DHS
2012,CM_ECMR_C_NNR,31.0,EDS/DHS
2014,CM_ECMR_C_NNR,19.0,EDS/DHS
2014,CM_ECMR_C_NNR,21.0,EDS/DHS
2015,CM_ECMR_C_NNR,23.0,EDS/DHS
2015,CM_ECMR_C_NNR,26.0,EDS/DHS
2016,CM_ECMR_C_NNR,21.0,EDS/DHS
2016,CM_ECMR_C_NNR,24.0,EDS/DHS
2017,CM_ECMR_C_NNR,28.0,EDS/DHS
2017,CM_ECMR_C_NNR,28.0,EDS/DHS
2018,CM_ECMR_C_NNR,23.0,EDS/DHS
2018,CM_ECMR_C_NNR,25.0,EDS/DHS
2019,CM_ECMR_C_NNR,21.0,EDS/DHS
2019,CM_ECMR_C_NNR,24.0,EDS/DHS
2023,CM_ECMR_C_NNR,23.0,EDS/DHS
2023,CM_ECMR_C_NNR,24.0,EDS/DHS
1986,CM_ECMR_C_U5M,195.0,EDS/DHS
1986,CM_ECMR_C_U5M,211.0,EDS/DHS
1993,CM_ECMR_C_U5M,132.0,EDS/DHS
1993,CM_ECMR_C_U5M,157.0,EDS/DHS
1997,CM_ECMR_C_U5M,139.0,EDS/DHS
1997,CM_ECMR_C_U5M,139.0,EDS/DHS
2005,CM_ECMR_C_U5M,121.0,EDS/DHS
2005,CM_ECMR_C_U5M,135.0,EDS/DHS
2008,CM_ECMR_C_U5M,85.0,EDS/DHS
2008,CM_ECMR_C_U5M,100.0,EDS/DHS
2010,CM_ECMR_C_U5M,72.0,EDS/DHS
2010,CM_ECMR_C_U5M,87.0,EDS/DHS
