region_geo,code,valeur
Saint Louis,FE_FRTR_W_TFR,3.6
Louga,FE_FRTR_W_TFR,4.0
Matam,FE_FRTR_W_TFR,4.5
Dakar,FE_FRTR_W_TFR,3.1
Thies,FE_FRTR_W_TFR,3.9
Diourbel,FE_FRTR_W_TFR,4.1
Fatick,FE_FRTR_W_TFR,4.6
Kaffrine,FE_FRTR_W_TFR,6.0
Kaolack,FE_FRTR_W_TFR,4.3
Ziguinchor,FE_FRTR_W_TFR,3.7
Sedhiou,FE_FRTR_W_TFR,5.5
Kolda,FE_FRTR_W_TFR,4.9
Kedougou,FE_FRTR_W_TFR,5.2
Tambacounda,FE_FRTR_W_TFR,4.4
Saint Louis,FP_CUSM_W_MOD,31.2
Louga,FP_CUSM_W_MOD,15.8
Matam,FP_CUSM_W_MOD,10.9
Dakar,FP_CUSM_W_MOD,36.4
Thies,FP_CUSM_W_MOD,33.3
Diourbel,FP_CUSM_W_MOD,16.6
Fatick,FP_CUSM_W_MOD,27.1
Kaffrine,FP_CUSM_W_MOD,25.5
Kaolack,FP_CUSM_W_MOD,24.0
Ziguinchor,FP_CUSM_W_MOD,23.3
Sedhiou,FP_CUSM_W_MOD,18.0
Kolda,FP_CUSM_W_MOD,22.4
Kedougou,FP_CUSM_W_MOD,18.0
Tambacounda,FP_CUSM_W_MOD,8.0
Saint Louis,CM_ECMR_C_NNR,19.0
Louga,CM_ECMR_C_NNR,34.0
Matam,CM_ECMR_C_NNR,26.0
Dakar,CM_ECMR_C_NNR,16.0
Thies,CM_ECMR_C_NNR,24.0
Diourbel,CM_ECMR_C_NNR,30.0
Fatick,CM_ECMR_C_NNR,22.0
Kaffrine,CM_ECMR_C_NNR,34.0
Kaolack,CM_ECMR_C_NNR,11.0
Ziguinchor,CM_ECMR_C_NNR,9.0
Sedhiou,CM_ECMR_C_NNR,40.0
Kolda,CM_ECMR_C_NNR,39.0
Kedougou,CM_ECMR_C_NNR,30.0
Tambacounda,CM_ECMR_C_NNR,29.0
Saint Louis,CM_ECMR_C_IMR,27.0
Louga,CM_ECMR_C_IMR,43.0
Matam,CM_ECMR_C_IMR,41.0
Dakar,CM_ECMR_C_IMR,20.0
Thies,CM_ECMR_C_IMR,32.0
Diourbel,CM_ECMR_C_IMR,39.0
Fatick,CM_ECMR_C_IMR,25.0
Kaffrine,CM_ECMR_C_IMR,44.0
Kaolack,CM_ECMR_C_IMR,19.0
Ziguinchor,CM_ECMR_C_IMR,17.0
Sedhiou,CM_ECMR_C_IMR,58.0
Kolda,CM_ECMR_C_IMR,54.0
Kedougou,CM_ECMR_C_IMR,43.0
Tambacounda,CM_ECMR_C_IMR,39.0
Saint Louis,CM_ECMR_C_U5M,31.0
Louga,CM_ECMR_C_U5M,53.0
Matam,CM_ECMR_C_U5M,49.0
Dakar,CM_ECMR_C_U5M,25.0
Thies,CM_ECMR_C_U5M,38.0
Diourbel,CM_ECMR_C_U5M,52.0
Fatick,CM_ECMR_C_U5M,36.0
Kaffrine,CM_ECMR_C_U5M,62.0
Kaolack,CM_ECMR_C_U5M,29.0
Ziguinchor,CM_ECMR_C_U5M,20.0
Sedhiou,CM_ECMR_C_U5M,71.0
Kolda,CM_ECMR_C_U5M,77.0
Kedougou,CM_ECMR_C_U5M,63.0
Tambacounda,CM_ECMR_C_U5M,52.0
Saint Louis,RH_DELP_C_DHF,85.3
Saint Louis,RH_DELP_C_DHF,85.9
Louga,RH_DELP_C_DHF,94.4
Louga,RH_DELP_C_DHF,93.8
Matam,RH_DELP_C_DHF,80.3
Matam,RH_DELP_C_DHF,81.7
Dakar,RH_DELP_C_DHF,98.5
Dakar,RH_DELP_C_DHF,98.9
Thies,RH_DELP_C_DHF,96.9
Thies,RH_DELP_C_DHF,97.3
Diourbel,RH_DELP_C_DHF,93.9
Diourbel,RH_DELP_C_DHF,94.2
Fatick,RH_DELP_C_DHF,92.4
Fatick,RH_DELP_C_DHF,91.5
Kaffrine,RH_DELP_C_DHF,84.3
Kaffrine,RH_DELP_C_DHF,85.4
Kaolack,RH_DELP_C_DHF,93.4
Kaolack,RH_DELP_C_DHF,93.1
Ziguinchor,RH_DELP_C_DHF,97.1
Ziguinchor,RH_DELP_C_DHF,96.3
Sedhiou,RH_DELP_C_DHF,81.4
Sedhiou,RH_DELP_C_DHF,81.6
Kolda,RH_DELP_C_DHF,88.5
Kolda,RH_DELP_C_DHF,88.5
Kedougou,RH_DELP_C_DHF,85.9
Kedougou,RH_DELP_C_DHF,87.6
Tambacounda,RH_DELP_C_DHF,83.8
Tambacounda,RH_DELP_C_DHF,85.6
Saint Louis,CN_NUTS_C_HA2,22.9
Louga,CN_NUTS_C_HA2,18.0
Matam,CN_NUTS_C_HA2,25.3
Dakar,CN_NUTS_C_HA2,10.4
Thies,CN_NUTS_C_HA2,15.9
Diourbel,CN_NUTS_C_HA2,17.5
Fatick,CN_NUTS_C_HA2,15.9
Kaffrine,CN_NUTS_C_HA2,28.4
Kaolack,CN_NUTS_C_HA2,14.6
Ziguinchor,CN_NUTS_C_HA2,10.3
Sedhiou,CN_NUTS_C_HA2,24.5
Kolda,CN_NUTS_C_HA2,17.9
Kedougou,CN_NUTS_C_HA2,21.3
Tambacounda,CN_NUTS_C_HA2,23.5
Saint Louis,ED_LITR_W_LIT,47.0
Louga,ED_LITR_W_LIT,42.0
Matam,ED_LITR_W_LIT,36.2
Dakar,ED_LITR_W_LIT,68.9
Thies,ED_LITR_W_LIT,57.1
Diourbel,ED_LITR_W_LIT,30.7
Fatick,ED_LITR_W_LIT,52.9
Kaffrine,ED_LITR_W_LIT,22.3
Kaolack,ED_LITR_W_LIT,44.5
Ziguinchor,ED_LITR_W_LIT,75.6
Sedhiou,ED_LITR_W_LIT,38.2
Kolda,ED_LITR_W_LIT,37.5
Kedougou,ED_LITR_W_LIT,50.2
Tambacounda,ED_LITR_W_LIT,31.1
Saint Louis,WS_SRCE_H_IMP,89.8
Louga,WS_SRCE_H_IMP,99.7
Matam,WS_SRCE_H_IMP,94.4
